Location,Date,day_avg,min_temp,max_temp
Schiphol,20150101,3.5,0.9,5.5
Schiphol,20150102,7.6,5.2,10.6
Schiphol,20150103,4.6,3.1,6.6
Schiphol,20150104,3.5,-0.9,7.9
Schiphol,20150105,2.9,0,3.9
Schiphol,20150106,3.2,0.7,6.8
Schiphol,20150107,4.2,1.1,7.3
Schiphol,20150108,6.8,4.2,8.7
Schiphol,20150109,9.8,5.9,12.4
Schiphol,20150110,9.2,5.2,12.3
Schiphol,20150111,6.6,4.9,8.2
Schiphol,20150112,9,7.7,10.7
Schiphol,20150113,8.3,5.2,10
Schiphol,20150114,4.4,2.1,6.2
Schiphol,20150115,7.7,5,10.1
Schiphol,20150116,5.1,2,8.4
Schiphol,20150117,2.7,-1.1,6.3
Schiphol,20150118,2.5,1.2,3.6
Schiphol,20150119,0.2,-1.6,1.9
Schiphol,20150120,0.6,-1.6,3.6
Schiphol,20150121,-0.3,-3,1.6
Schiphol,20150122,-0.8,-2.8,1.3
Schiphol,20150123,-2.9,-6.3,0.7
Schiphol,20150124,2.4,-0.8,6.9
Schiphol,20150125,4.5,-0.3,6.8
Schiphol,20150126,6.6,3.2,8.6
Schiphol,20150127,5.5,2.9,7.6
Schiphol,20150128,5.2,2.1,7.6
Schiphol,20150129,3,-0.1,5.5
Schiphol,20150130,1.3,-2.5,4.1
Schiphol,20150131,1.5,-1.9,5
Schiphol,20150201,2.9,-1.4,6
Schiphol,20150202,2.5,0.5,6.2
Schiphol,20150203,1.3,-2,6.4
Schiphol,20150204,-0.1,-4.8,6
Schiphol,20150205,-0.1,-4,2.3
Schiphol,20150206,0,-1.4,2.1
Schiphol,20150207,2.4,-5,6.4
Schiphol,20150208,5.1,1.6,7.4
Schiphol,20150209,5.9,4,7.2
Schiphol,20150210,5.8,3.6,7.2
Schiphol,20150211,4.3,3.1,5.3
Schiphol,20150212,3.6,2.8,4.5
Schiphol,20150213,5.5,0.7,9.9
Schiphol,20150214,6.9,5.2,9.5
Schiphol,20150215,2.5,-2,7.6
Schiphol,20150216,1.3,-3.6,7.3
Schiphol,20150217,3.9,-1.4,8.7
Schiphol,20150218,2.5,-2.8,8.6
Schiphol,20150219,3.7,-1.2,8.3
Schiphol,20150220,5.2,3.7,6.8
Schiphol,20150221,3.1,0.1,6.1
Schiphol,20150222,3,-1.8,7.6
Schiphol,20150223,6,3.2,9.1
Schiphol,20150224,5.5,1.7,8.9
Schiphol,20150225,4.2,-0.2,7.5
Schiphol,20150226,6.2,3.9,8.5
Schiphol,20150227,4.3,-0.4,7.9
Schiphol,20150228,5.2,-0.4,9.7
Schiphol,20150301,7.9,5.1,10.3
Schiphol,20150302,5.2,1.3,8
Schiphol,20150303,4.7,2.4,7.1
Schiphol,20150304,5.4,3.6,7.3
Schiphol,20150305,5.4,-0.3,9.6
Schiphol,20150306,6.4,2.4,9.6
Schiphol,20150307,7.7,3.6,13.6
Schiphol,20150308,8.2,2.3,13.9
Schiphol,20150309,8,2.3,11.9
Schiphol,20150310,7.1,0.9,10.9
Schiphol,20150311,3.8,-2.8,9.9
Schiphol,20150312,6.3,-1.5,13.1
Schiphol,20150313,4.8,1,8.7
Schiphol,20150314,4.2,1.7,5.6
Schiphol,20150315,5.7,4.5,6.7
Schiphol,20150316,6.8,2.8,11.4
Schiphol,20150317,8.3,1.2,15.4
Schiphol,20150318,5.5,1.9,7.5
Schiphol,20150319,7.7,4.5,12.7
Schiphol,20150320,4.9,1.7,8.6
Schiphol,20150321,6.5,4.2,10.1
Schiphol,20150322,4.5,1.2,8.3
Schiphol,20150323,3.4,-1.8,9.4
Schiphol,20150324,5.4,-0.5,10.6
Schiphol,20150325,5.9,3.5,7.3
Schiphol,20150326,4.7,-0.3,7.9
Schiphol,20150327,5.9,0.6,8.7
Schiphol,20150328,7.1,0.6,10.7
Schiphol,20150329,8.9,6.7,11.4
Schiphol,20150330,7,5.7,9.1
Schiphol,20150331,8.5,5.5,10.7
Schiphol,20150401,6.7,3.9,9.4
Schiphol,20150402,6.2,4.1,9.1
Schiphol,20150403,7.1,4.3,9.9
Schiphol,20150404,5.2,1,9.7
Schiphol,20150405,5,-1.6,11.1
Schiphol,20150406,7.5,2.8,12.5
Schiphol,20150407,6.5,1.6,11.7
Schiphol,20150408,8.3,5.2,14.2
Schiphol,20150409,10.5,4.5,16.3
Schiphol,20150410,11.3,3.6,19.2
Schiphol,20150411,8.9,3.2,13.5
Schiphol,20150412,9.7,2.5,15.7
Schiphol,20150413,7.9,4.3,11.9
Schiphol,20150414,10.7,4,17.9
Schiphol,20150415,12.7,6.4,20.7
Schiphol,20150416,9.6,6.9,12.6
Schiphol,20150417,8.5,4.8,12.3
Schiphol,20150418,8.8,3.7,14.5
Schiphol,20150419,8.2,1.4,13.9
Schiphol,20150420,11.1,5.9,16.3
Schiphol,20150421,9.9,2.8,16.3
Schiphol,20150422,8.4,2.8,11.3
Schiphol,20150423,9.6,5.9,15
Schiphol,20150424,11.8,3.6,18.8
Schiphol,20150425,12,8.2,15
Schiphol,20150426,9.8,7.5,11.6
Schiphol,20150427,7.4,0.8,12.8
Schiphol,20150428,6.7,0.7,11.5
Schiphol,20150429,8.4,3.5,14.2
Schiphol,20150430,9,3.8,13.5
Schiphol,20150501,8.5,4.5,13.1
Schiphol,20150502,9.6,3,15.1
Schiphol,20150503,12.4,7.5,16.7
Schiphol,20150504,14.9,11.7,18.5
Schiphol,20150505,15.3,10.6,22.3
Schiphol,20150506,12.1,8.7,15.6
Schiphol,20150507,11.9,8.5,15.3
Schiphol,20150508,13.9,8.2,19
Schiphol,20150509,12.8,7.3,16.2
Schiphol,20150510,12.6,4.8,18.6
Schiphol,20150511,16.8,11.8,25
Schiphol,20150512,14.1,11.6,16.9
Schiphol,20150513,11.8,6.9,16.7
Schiphol,20150514,11.3,7.9,15.3
Schiphol,20150515,9.3,5.5,14.4
Schiphol,20150516,11,6.4,14.9
Schiphol,20150517,11.7,7.4,15.8
Schiphol,20150518,10.7,7.7,13.7
Schiphol,20150519,10.6,6.9,14.5
Schiphol,20150520,10,6,14.5
Schiphol,20150521,12.2,5.4,16
Schiphol,20150522,14.4,12,19.4
Schiphol,20150523,12.1,5.7,16
Schiphol,20150524,12.2,3.7,17.9
Schiphol,20150525,12,9.1,14.9
Schiphol,20150526,11.8,7.8,15.6
Schiphol,20150527,13.3,7.2,18.2
Schiphol,20150528,12.9,7.8,15.9
Schiphol,20150529,11.3,8.2,14.7
Schiphol,20150530,11.5,8.5,14.6
Schiphol,20150531,12.3,8.6,15.7
Schiphol,20150601,12.6,6,16.4
Schiphol,20150602,14.4,11.2,16.9
Schiphol,20150603,14,7.9,17.7
Schiphol,20150604,15.5,7.5,21.1
Schiphol,20150605,20.5,12,31
Schiphol,20150606,14.9,10.6,17.7
Schiphol,20150607,13.3,8,17.6
Schiphol,20150608,12.6,8.8,17
Schiphol,20150609,11.7,9.6,14.2
Schiphol,20150610,15.1,9.8,20.8
Schiphol,20150611,17.6,11.2,23.2
Schiphol,20150612,20.7,13.4,26.6
Schiphol,20150613,16.5,13.4,19.7
Schiphol,20150614,14.4,12.3,17.3
Schiphol,20150615,13,7.5,17.5
Schiphol,20150616,12.4,6.7,16.8
Schiphol,20150617,16,8,22.5
Schiphol,20150618,13.6,11.9,16
Schiphol,20150619,13.3,10.7,16.8
Schiphol,20150620,13.1,9.9,16.7
Schiphol,20150621,14.6,11.9,18.8
Schiphol,20150622,13,9.1,17.5
Schiphol,20150623,12.7,9.3,14.9
Schiphol,20150624,16,11.9,21.3
Schiphol,20150625,18,11.9,22.8
Schiphol,20150626,20.2,14.2,24.7
Schiphol,20150627,17,12.3,20.8
Schiphol,20150628,17.7,11.3,23.3
Schiphol,20150629,18.2,12.5,22.8
Schiphol,20150630,20.6,11.7,26.4
Schiphol,20150701,26.1,16.6,33
Schiphol,20150702,24.4,19.2,30.2
Schiphol,20150703,23.8,17.5,28.9
Schiphol,20150704,23.9,17.6,30.9
Schiphol,20150705,19.7,15.8,27.7
Schiphol,20150706,18.3,13.5,21.9
Schiphol,20150707,19.7,13.1,25.3
Schiphol,20150708,15.9,12,19.5
Schiphol,20150709,13.6,9.5,17.9
Schiphol,20150710,17.2,8.9,23.3
Schiphol,20150711,20.1,15.2,27.4
Schiphol,20150712,18,16.6,19.9
Schiphol,20150713,17.9,16.8,20
Schiphol,20150714,17.8,14.4,21.3
Schiphol,20150715,17.4,15.6,20.2
Schiphol,20150716,19.1,12.9,23.5
Schiphol,20150717,21.2,17.7,25.3
Schiphol,20150718,17.8,13.4,21.4
Schiphol,20150719,16.1,11.2,20.7
Schiphol,20150720,17.9,9.8,21.2
Schiphol,20150721,19.9,15.2,24.3
Schiphol,20150722,19,14.8,22.9
Schiphol,20150723,17.4,14.1,21.5
Schiphol,20150724,18.9,13.4,23
Schiphol,20150725,15,11.1,18.2
Schiphol,20150726,14.8,8.9,21.1
Schiphol,20150727,16.9,14.4,20
Schiphol,20150728,15.8,12.7,18.9
Schiphol,20150729,14.5,10.5,17.5
Schiphol,20150730,13.9,9.4,18.1
Schiphol,20150731,13.9,7.5,19.5
Schiphol,20150801,15.8,8.5,21.1
Schiphol,20150802,18.2,10.6,24
Schiphol,20150803,20.8,14.8,28.3
Schiphol,20150804,17.9,14.2,21
Schiphol,20150805,19.1,12.1,24.9
Schiphol,20150806,19.9,14.5,26.7
Schiphol,20150807,19.4,14,24.7
Schiphol,20150808,18.4,13.5,22.3
Schiphol,20150809,19.1,12.1,24.8
Schiphol,20150810,19.5,16.6,23.6
Schiphol,20150811,19.9,16.2,24.3
Schiphol,20150812,19.2,17.2,21.7
Schiphol,20150813,21.6,15.8,26.9
Schiphol,20150814,21.2,17.8,25.3
Schiphol,20150815,17.9,15.5,21.6
Schiphol,20150816,15.7,12.8,18.4
Schiphol,20150817,14.5,12.9,15.6
Schiphol,20150818,15.1,13.7,17.4
Schiphol,20150819,17.1,13.7,22.4
Schiphol,20150820,18.8,13.1,25.5
Schiphol,20150821,20.4,15.1,25.1
Schiphol,20150822,21.4,16.9,26.5
Schiphol,20150823,20.1,16.3,26.2
Schiphol,20150824,17.7,14,22.6
Schiphol,20150825,16.8,14.1,20.1
Schiphol,20150826,19.6,16.3,25
Schiphol,20150827,15.8,13.8,18.3
Schiphol,20150828,15.9,11.8,20.6
Schiphol,20150829,17.4,11,23
Schiphol,20150830,19.7,15.9,23.8
Schiphol,20150831,20.3,16.5,25
Schiphol,20150901,15.7,11.8,19
Schiphol,20150902,14,10.2,18.7
Schiphol,20150903,12.9,8.8,16.8
Schiphol,20150904,13.9,11.9,15.9
Schiphol,20150905,13.7,11,17
Schiphol,20150906,13.2,10.8,16.8
Schiphol,20150907,14.3,12.2,18.2
Schiphol,20150908,14.3,9.8,17.2
Schiphol,20150909,14.1,9,18.6
Schiphol,20150910,14.8,10,19.6
Schiphol,20150911,14.6,9.6,19.4
Schiphol,20150912,15.8,12.3,19.8
Schiphol,20150913,16.3,11.7,19.1
Schiphol,20150914,14.1,11.4,18.8
Schiphol,20150915,12.1,9.5,15.4
Schiphol,20150916,15,10.5,18.9
Schiphol,20150917,14,10.5,15.8
Schiphol,20150918,13.6,9.9,17.7
Schiphol,20150919,13.7,9.8,17.7
Schiphol,20150920,14,8.5,18.5
Schiphol,20150921,14.6,11.6,18.7
Schiphol,20150922,12.8,9.2,17.8
Schiphol,20150923,13.3,9,17.2
Schiphol,20150924,13,11.6,15.1
Schiphol,20150925,12.5,7.9,17.2
Schiphol,20150926,11.8,5.7,17.3
Schiphol,20150927,12.3,6.4,17.3
Schiphol,20150928,12.3,7.1,17.2
Schiphol,20150929,12.6,7.7,17.4
Schiphol,20150930,13.1,8.5,17.5
Schiphol,20151001,12,7,16.6
Schiphol,20151002,11.8,5,16.9
Schiphol,20151003,11.8,6.9,17.8
Schiphol,20151004,11.2,7.3,17.4
Schiphol,20151005,13.1,7.6,17
Schiphol,20151006,15.5,13.2,18.8
Schiphol,20151007,14.8,13.7,16.3
Schiphol,20151008,13.3,10.8,15.8
Schiphol,20151009,12.1,7.5,16.5
Schiphol,20151010,11.6,6.7,14.5
Schiphol,20151011,7.3,4.2,11.6
Schiphol,20151012,5.4,1.4,10.1
Schiphol,20151013,6.4,4.4,8.1
Schiphol,20151014,6.5,4.3,9
Schiphol,20151015,7.2,4.3,8.9
Schiphol,20151016,8.4,7,10
Schiphol,20151017,9,7.4,10.2
Schiphol,20151018,9.1,2.5,11.8
Schiphol,20151019,11,6.1,13.7
Schiphol,20151020,9.7,6.1,13.2
Schiphol,20151021,10.2,5.2,12.1
Schiphol,20151022,12.1,7.7,15.2
Schiphol,20151023,11.5,7.7,14
Schiphol,20151024,11.7,9.9,13.5
Schiphol,20151025,9.7,4.6,13.8
Schiphol,20151026,11,6.3,16.1
Schiphol,20151027,11.5,7.1,17.1
Schiphol,20151028,10.8,6.1,13.3
Schiphol,20151029,10.8,7.6,15.5
Schiphol,20151030,10.4,7.4,15.1
Schiphol,20151031,9.7,6,14.7
Schiphol,20151101,7.4,3.6,12.7
Schiphol,20151102,8.6,4.6,15.4
Schiphol,20151103,9.7,2.9,15.6
Schiphol,20151104,12.1,8.8,14.6
Schiphol,20151105,13.1,10.7,15.1
Schiphol,20151106,15.2,13.9,17.1
Schiphol,20151107,15.9,13.8,18.2
Schiphol,20151108,12.8,6.5,17.4
Schiphol,20151109,13.6,12.4,16
Schiphol,20151110,14.6,13.6,15.7
Schiphol,20151111,13,12.1,13.9
Schiphol,20151112,13.3,11.4,15.7
Schiphol,20151113,11.3,6.8,13.7
Schiphol,20151114,10.1,8.4,14.1
Schiphol,20151115,14.3,13.1,14.9
Schiphol,20151116,12.6,10.9,13.7
Schiphol,20151117,13.3,10.4,15.5
Schiphol,20151118,12.8,10.3,14.3
Schiphol,20151119,11.3,8.8,13.3
Schiphol,20151120,8,3.6,10.1
Schiphol,20151121,5,2.6,7.3
Schiphol,20151122,2.7,0.3,5.9
Schiphol,20151123,3.5,-1.5,7.5
Schiphol,20151124,4.9,3.6,7
Schiphol,20151125,6.4,3,8.3
Schiphol,20151126,5,1.8,9.7
Schiphol,20151127,5.7,3.1,7.3
Schiphol,20151128,7,5.3,8.5
Schiphol,20151129,10.5,7.7,12.5
Schiphol,20151130,9.3,6.6,12.3
Schiphol,20151201,9.8,6,12.8
Schiphol,20151202,10.6,9.4,12
Schiphol,20151203,9.5,8.3,11
Schiphol,20151204,9.5,7.9,11
Schiphol,20151205,8.1,7.4,9.3
Schiphol,20151206,10.7,8,12.5
Schiphol,20151207,10.7,9.3,12.2
Schiphol,20151208,9.6,7.9,11.3
Schiphol,20151209,7.7,5.3,10.1
Schiphol,20151210,6.5,5.5,7.6
Schiphol,20151211,7.7,6.1,9.8
Schiphol,20151212,8.2,3.9,12.1
Schiphol,20151213,7,4.5,11.7
Schiphol,20151214,7.2,4.8,9.8
Schiphol,20151215,7.2,4.4,9.4
Schiphol,20151216,11.6,9.1,13.4
Schiphol,20151217,12.8,11,14.4
Schiphol,20151218,11.4,9.6,13.1
Schiphol,20151219,12.1,9.5,13.6
Schiphol,20151220,11.4,9.5,12.5
Schiphol,20151221,9.9,8,12.2
Schiphol,20151222,12.3,7.8,13.7
Schiphol,20151223,10,7.1,12.7
Schiphol,20151224,9.4,6.6,12.7
Schiphol,20151225,9.2,4.5,13.8
Schiphol,20151226,12.9,11,14.8
Schiphol,20151227,11.8,10.5,13.4
Schiphol,20151228,9.1,6.6,11.6
Schiphol,20151229,7.6,5.4,9.8
Schiphol,20151230,7.4,5.9,9.4
Schiphol,20151231,7.6,5.1,9.9
Rotterdam,20150101,3.7,2,5.4
Rotterdam,20150102,7.4,5,11.1
Rotterdam,20150103,4.5,2.7,6.3
Rotterdam,20150104,3.3,0.2,7.5
Rotterdam,20150105,3.2,1.4,4.2
